step,Time,Hour,Minute,minute_of_day,fridge_kw,ac_kw,heater_kw,dehumidifier_kw,dryer_kw,lighting_kw,washer_kw,transferPump_kw,boosterPump_kw,total_power_kw,energy_kwh
14,00:14,0,14,14,0.08007391819076574,0.0,0.0,0.02,0.0,0.043586786848040064,0.0,0.0,0.0,0.14366070503880582,0.002394345083980097
15,00:15,0,15,15,0.08121320343559643,0.0,0.0,0.02,0.0,0.04067794081855339,0.0,0.0,0.0,0.14189114425414984,0.0023648524042358308
16,00:16,0,16,16,0.08229434476432182,0.0,0.0,0.02,0.0,0.04469996667111703,0.0,0.0,0.0,0.14699431143543884,0.0024499051905906475
17,00:17,0,17,17,0.08331437884370912,0.0,0.0,0.02,0.0,0.04738553633239982,0.0,0.0,0.0,0.15069991517610895,0.002511665252935149
18,00:18,0,18,18,0.08427050983124844,0.0,0.0,0.02,0.0,0.042968587136238745,0.0,0.0,0.0,0.1472390969674872,0.00245398494945812
19,00:19,0,19,19,0.08516011703836271,0.0,0.0,0.02,0.0,0.04701892852234185,0.0,0.0,0.0,0.15217904556070455,0.0025363174260117425
20,00:20,0,20,20,0.08598076211353316,0.0,0.0,0.02,0.0,0.04983708466417488,0.0,0.0,0.0,0.15581784677770805,0.0025969641129618007
21,00:21,0,21,21,0.08673019572565104,0.0,0.0,0.02,0.0,0.04792102205569835,0.0,0.0,0.0,0.15465121778134938,0.002577520296355823
22,00:22,0,22,22,0.08740636372927803,0.0,0.0,0.02,0.0,0.049108246051376245,0.0,0.0,0.0,0.1565146097806543,0.0026085768296775715
23,00:23,0,23,23,0.08800741279491606,0.0,0.0,0.02,0.0,0.0431020503468993,0.0,0.0,0.0,0.15110946314181536,0.0025184910523635895
24,00:24,0,24,24,0.0885316954888546,0.0,0.0,0.02,0.0,0.045400081592360746,0.0,0.0,0.0,0.15393177708121536,0.002565529618020256
25,00:25,0,25,25,0.08897777478867205,0.0,0.0,0.02,0.0,0.04541000182601705,0.0,0.0,0.0,0.1543877766146891,0.0025731296102448186
26,00:26,0,26,26,0.08934442802201417,0.0,0.0,0.02,0.0,0.0418110019619992,0.0,0.0,0.0,0.15115542998401338,0.002519257166400223
27,00:27,0,27,27,0.08963065021785414,0.0,0.0,0.02,0.0,0.04397943319678531,0.0,0.0,0.0,0.15361008341463944,0.0025601680569106574
28,00:28,0,28,28,0.08983565686104819,0.0,0.0,0.02,0.0,0.04932241485838388,0.0,0.0,0.0,0.15915807171943208,0.0026526345286572014
29,00:29,0,29,29,0.08995888604263721,0.0,0.0,0.02,0.0,0.044908601403873594,0.0,0.0,0.0,0.1548674874465108,0.00258112479077518
30,00:30,0,30,30,0.09,0.0,0.0,0.02,0.0,0.04811425642993499,0.0,0.0,0.0,0.15811425642993499,0.002635237607165583
31,00:31,0,31,31,0.08995888604263721,0.0,0.0,0.02,0.0,0.04160718375447828,0.0,0.0,0.0,0.1515660697971155,0.0025261011632852584
32,00:32,0,32,32,0.0898356568610482,0.0,0.0,0.02,0.0,0.04139168466412993,0.0,0.0,0.0,0.15122734152517814,0.0025204556920863023
33,00:33,0,33,33,0.08963065021785413,0.0,0.0,0.02,0.0,0.04856205456664407,0.0,0.0,0.0,0.1581927047844982,0.0026365450797416366
34,00:34,0,34,34,0.08934442802201417,0.0,0.0,0.02,0.0,0.041565053927261154,0.0,0.0,0.0,0.15090948194927534,0.002515158032487922
35,00:35,0,35,35,0.08897777478867205,0.0,0.0,0.02,0.0,0.04092336921181475,0.0,0.0,0.0,0.14990114400048682,0.0024983524000081136
36,00:36,0,36,36,0.0885316954888546,0.0,0.0,0.02,0.0,0.049101905019150266,0.0,0.0,0.0,0.15763360050800487,0.0026272266751334143
37,00:37,0,37,37,0.08800741279491606,0.0,0.0,0.02,0.0,0.04228452922933425,0.0,0.0,0.0,0.1502919420242503,0.002504865700404172
38,00:38,0,38,38,0.08740636372927803,0.0,0.0,0.02,0.0,0.042451959798934874,0.0,0.0,0.0,0.1498583235282129,0.002497638725470215
39,00:39,0,39,39,0.08673019572565105,0.0,0.0,0.02,0.0,0.04273114643405867,0.0,0.0,0.0,0.14946134215970971,0.002491022369328495
40,00:40,0,40,40,0.08598076211353316,0.0,0.0,0.02,0.0,0.04083697903942166,0.0,0.0,0.0,0.14681774115295482,0.0024469623525492467
41,00:41,0,41,41,0.08516011703836271,0.0,0.0,0.02,0.0,0.041723022764809645,0.0,0.0,0.0,0.14688313980317236,0.0024480523300528727
42,00:42,0,42,42,0.08427050983124844,0.0,0.0,0.02,0.0,0.04596391592295193,0.0,0.0,0.0,0.15023442575420037,0.0025039070959033396
43,00:43,0,43,43,0.08331437884370914,0.0,0.0,0.02,0.0,0.047627878033073896,0.0,0.0,0.0,0.15094225687678303,0.002515704281279717
44,00:44,0,44,44,0.08229434476432183,0.0,0.0,0.02,0.0,0.042711256854739074,0.0,0.0,0.0,0.1450056016190609,0.0024167600269843484
45,00:45,0,45,45,0.08121320343559643,0.0,0.0,0.02,0.0,0.04420565944746516,0.0,0.0,0.0,0.1454188628830616,0.0024236477147176936
46,00:46,0,46,46,0.08007391819076574,0.0,0.0,0.02,0.0,0.043131877624472986,0.0,0.0,0.0,0.14320579581523873,0.002386763263587312
47,00:47,0,47,47,0.07887961173149512,0.0,0.0,0.02,0.0,0.045460110079115955,0.0,0.0,0.0,0.14433972181061108,0.0024056620301768513
48,00:48,0,48,48,0.0776335575687742,0.0,0.0,0.02,0.0,0.04165027037579286,0.0,0.0,0.0,0.13928382794456706,0.002321397132409451
49,00:49,0,49,49,0.07633917105045082,0.0,0.0,0.02,0.0,0.04152011366313329,0.0,0.0,0.0,0.1378592847135841,0.002297654745226402
50,00:50,0,50,50,0.075,0.0,0.0,0.02,0.0,0.046173487968944424,0.0,0.0,0.0,0.1411734879689444,0.0023528914661490735
51,00:51,0,51,51,0.0736197149921864,0.0,0.0,0.02,0.0,0.04333544030288447,0.0,0.0,0.0,0.13695515529507088,0.0022825859215845146
52,00:52,0,52,52,0.072202099292274,0.0,0.0,0.02,0.0,0.04513354764573445,0.0,0.0,0.0,0.13733564693800845,0.0022889274489668074
53,00:53,0,53,53,0.07075103848635902,0.0,0.0,0.02,0.0,0.04855753755329911,0.0,0.0,0.0,0.13930857603965813,0.0023218096006609686
54,00:54,0,54,54,0.06927050983124844,0.0,0.0,0.02,0.0,0.045781239013847896,0.0,0.0,0.0,0.13505174884509635,0.002250862480751606
55,00:55,0,55,55,0.06776457135307562,0.0,0.0,0.02,0.0,0.04237689252043003,0.0,0.0,0.0,0.13014146387350567,0.002169024397891761
56,00:56,0,56,56,0.06623735072453277,0.0,0.0,0.02,0.0,0.04207896554459569,0.0,0.0,0.0,0.12831631626912846,0.0021386052711521407
57,00:57,0,57,57,0.06469303395120693,0.0,0.0,0.02,0.0,0.04403173244535248,0.0,0.0,0.0,0.12872476639655941,0.0021454127732759903
58,00:58,0,58,58,0.06313585389802961,0.0,0.0,0.02,0.0,0.04696354531988924,0.0,0.0,0.0,0.13009939921791885,0.0021683233202986476
59,00:59,0,59,59,0.06157007868728833,0.0,0.0,0.02,0.0,0.04756859719111026,0.0,0.0,0.0,0.12913867587839858,0.0021523112646399762
60,01:00,1,0,60,0.060000000000000005,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.10400000000000001,0.0017333333333333335
61,01:01,1,1,61,0.05842992131271169,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.1024299213127117,0.0017071653552118615
62,01:02,1,2,62,0.056864146101970395,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0768641461019704,0.0012810691016995066
63,01:03,1,3,63,0.05530696604879308,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07530696604879308,0.0012551161008132181
64,01:04,1,4,64,0.05376264927546723,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07376264927546723,0.001229377487924454
65,01:05,1,5,65,0.05223542864692439,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0722354286469244,0.0012039238107820732
66,01:06,1,6,66,0.05072949016875157,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07072949016875157,0.0011788248361458596
67,01:07,1,7,67,0.049248961513640985,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06924896151364099,0.001154149358560683
68,01:08,1,8,68,0.04779790070772601,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06779790070772601,0.0011299650117954335
69,01:09,1,9,69,0.04638028500781361,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06638028500781361,0.0011063380834635602
70,01:10,1,10,70,0.045,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.065,0.0010833333333333333
71,01:11,1,11,71,0.043660828949549195,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06366082894954919,0.0010610138158258199
72,01:12,1,12,72,0.04236644243122581,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06236644243122581,0.0010394407071870968
73,01:13,1,13,73,0.041120388268504886,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06112038826850488,0.0010186731378084147
74,01:14,1,14,74,0.03992608180923425,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.059926081809234255,0.0009987680301539043
75,01:15,1,15,75,0.03878679656440357,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05878679656440357,0.0009797799427400595
76,01:16,1,16,76,0.037705655235678176,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05770565523567818,0.0009617609205946363
77,01:17,1,17,77,0.036685621156290864,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05668562115629086,0.0009447603526048477
78,01:18,1,18,78,0.035729490168751585,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05572949016875159,0.0009288248361458598
79,01:19,1,19,79,0.03483988296163728,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.054839882961637276,0.0009139980493606212
80,01:20,1,20,80,0.034019237886466845,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05401923788646684,0.000900320631441114
81,01:21,1,21,81,0.033269804274348974,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05326980427434898,0.0008878300712391496
82,01:22,1,22,82,0.032593636270721975,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05259363627072197,0.0008765606045120328
83,01:23,1,23,83,0.03199258720508395,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05199258720508396,0.0008665431200847326
84,01:24,1,24,84,0.03146830451114539,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.051468304511145396,0.0008578050751857566
85,01:25,1,25,85,0.03102222521132795,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.051022225211327946,0.000850370420188799
86,01:26,1,26,86,0.030655571977985838,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05065557197798584,0.0008442595329664306
87,01:27,1,27,87,0.030369349782145873,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05036934978214587,0.0008394891630357645
88,01:28,1,28,88,0.0301643431389518,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0501643431389518,0.0008360723856491967
89,01:29,1,29,89,0.030041113957362784,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.050041113957362784,0.0008340185659560464
90,01:30,1,30,90,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0008333333333333334
91,01:31,1,31,91,0.030041113957362784,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.050041113957362784,0.0008340185659560464
92,01:32,1,32,92,0.0301643431389518,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0501643431389518,0.0008360723856491967
93,01:33,1,33,93,0.03036934978214587,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05036934978214587,0.0008394891630357645
94,01:34,1,34,94,0.030655571977985838,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05065557197798584,0.0008442595329664306
95,01:35,1,35,95,0.031022225211327942,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.051022225211327946,0.000850370420188799
96,01:36,1,36,96,0.03146830451114539,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.051468304511145396,0.0008578050751857566
97,01:37,1,37,97,0.031992587205083946,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05199258720508394,0.0008665431200847324
98,01:38,1,38,98,0.03259363627072197,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05259363627072197,0.0008765606045120328
99,01:39,1,39,99,0.03326980427434895,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05326980427434895,0.0008878300712391492
100,01:40,1,40,100,0.03401923788646684,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05401923788646684,0.000900320631441114
101,01:41,1,41,101,0.03483988296163727,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.054839882961637276,0.0009139980493606212
102,01:42,1,42,102,0.03572949016875158,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.055729490168751575,0.0009288248361458596
103,01:43,1,43,103,0.036685621156290864,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05668562115629086,0.0009447603526048477
104,01:44,1,44,104,0.037705655235678176,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05770565523567818,0.0009617609205946363
105,01:45,1,45,105,0.03878679656440357,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.08278679656440358,0.0013797799427400597
106,01:46,1,46,106,0.03992608180923423,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.08392608180923422,0.0013987680301539036
107,01:47,1,47,107,0.041120388268504886,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06112038826850488,0.0010186731378084147
108,01:48,1,48,108,0.0423664424312258,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0623664424312258,0.0010394407071870966
109,01:49,1,49,109,0.043660828949549195,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06366082894954919,0.0010610138158258199
110,01:50,1,50,110,0.04499999999999999,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06499999999999999,0.001083333333333333
111,01:51,1,51,111,0.04638028500781359,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0663802850078136,0.00110633808346356
112,01:52,1,52,112,0.047797900707726,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.067797900707726,0.0011299650117954333
113,01:53,1,53,113,0.04924896151364098,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06924896151364097,0.0011541493585606828
114,01:54,1,54,114,0.05072949016875157,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07072949016875157,0.0011788248361458596
115,01:55,1,55,115,0.052235428646924376,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07223542864692438,0.001203923810782073
116,01:56,1,56,116,0.0537626492754672,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0737626492754672,0.0012293774879244535
117,01:57,1,57,117,0.055306966048793066,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07530696604879307,0.0012551161008132177
118,01:58,1,58,118,0.05686414610197037,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.07686414610197037,0.0012810691016995062
119,01:59,1,59,119,0.0584299213127117,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0784299213127117,0.0013071653552118618
120,02:00,2,0,120,0.06,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.10400000000000001,0.0017333333333333335
121,02:01,2,1,121,0.061570078687288324,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.10557007868728832,0.0017595013114548054
122,02:02,2,2,122,0.0631358538980296,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0831358538980296,0.00138559756496716
123,02:03,2,3,123,0.06469303395120693,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08469303395120693,0.0014115505658534489
124,02:04,2,4,124,0.06623735072453277,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08623735072453277,0.0014372891787422129
125,02:05,2,5,125,0.06776457135307562,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08776457135307562,0.0014627428558845936
126,02:06,2,6,126,0.06927050983124841,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08927050983124842,0.0014878418305208068
127,02:07,2,7,127,0.07075103848635901,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09075103848635901,0.0015125173081059835
128,02:08,2,8,128,0.072202099292274,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.092202099292274,0.0015367016548712333
129,02:09,2,9,129,0.0736197149921864,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09361971499218641,0.0015603285832031068
130,02:10,2,10,130,0.075,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.095,0.0015833333333333333
131,02:11,2,11,131,0.07633917105045081,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09633917105045081,0.0016056528508408467
132,02:12,2,12,132,0.0776335575687742,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0976335575687742,0.00162722595947957
133,02:13,2,13,133,0.07887961173149512,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09887961173149512,0.001647993528858252
134,02:14,2,14,134,0.08007391819076574,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10007391819076575,0.0016678986365127625
135,02:15,2,15,135,0.08121320343559643,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10121320343559644,0.0016868867239266073
136,02:16,2,16,136,0.08229434476432182,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10229434476432182,0.0017049057460720304
137,02:17,2,17,137,0.08331437884370912,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10331437884370913,0.0017219063140618187
138,02:18,2,18,138,0.08427050983124844,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10427050983124844,0.0017378418305208072
139,02:19,2,19,139,0.08516011703836271,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10516011703836271,0.0017526686173060452
140,02:20,2,20,140,0.08598076211353316,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10598076211353316,0.0017663460352255527
141,02:21,2,21,141,0.08673019572565104,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10673019572565104,0.0017788365954275172
142,02:22,2,22,142,0.08740636372927803,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10740636372927803,0.0017901060621546337
143,02:23,2,23,143,0.08800741279491606,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10800741279491606,0.0018001235465819343
144,02:24,2,24,144,0.0885316954888546,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10853169548885461,0.0018088615914809102
145,02:25,2,25,145,0.08897777478867205,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10897777478867206,0.0018162962464778676
146,02:26,2,26,146,0.08934442802201417,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10934442802201418,0.0018224071337002363
147,02:27,2,27,147,0.08963065021785414,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10963065021785415,0.0018271775036309025
148,02:28,2,28,148,0.08983565686104819,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.1098356568610482,0.00183059428101747
149,02:29,2,29,149,0.08995888604263721,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10995888604263722,0.0018326481007106203
150,02:30,2,30,150,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.11,0.0018333333333333333
151,02:31,2,31,151,0.08995888604263721,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10995888604263722,0.0018326481007106203
152,02:32,2,32,152,0.0898356568610482,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10983565686104821,0.0018305942810174702
153,02:33,2,33,153,0.08963065021785413,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10963065021785413,0.001827177503630902
154,02:34,2,34,154,0.08934442802201417,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10934442802201418,0.0018224071337002363
155,02:35,2,35,155,0.08897777478867205,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10897777478867206,0.0018162962464778676
156,02:36,2,36,156,0.0885316954888546,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10853169548885461,0.0018088615914809102
157,02:37,2,37,157,0.08800741279491606,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10800741279491606,0.0018001235465819343
158,02:38,2,38,158,0.08740636372927803,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10740636372927803,0.0017901060621546337
159,02:39,2,39,159,0.08673019572565105,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10673019572565105,0.0017788365954275176
160,02:40,2,40,160,0.08598076211353316,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10598076211353316,0.0017663460352255527
161,02:41,2,41,161,0.08516011703836271,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10516011703836271,0.0017526686173060452
162,02:42,2,42,162,0.08427050983124844,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10427050983124844,0.0017378418305208072
163,02:43,2,43,163,0.08331437884370914,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10331437884370914,0.001721906314061819
164,02:44,2,44,164,0.08229434476432183,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10229434476432184,0.0017049057460720306
165,02:45,2,45,165,0.08121320343559643,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.12521320343559644,0.0020868867239266075
166,02:46,2,46,166,0.08007391819076574,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.12407391819076574,0.0020678986365127625
167,02:47,2,47,167,0.07887961173149512,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09887961173149512,0.001647993528858252
168,02:48,2,48,168,0.0776335575687742,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0976335575687742,0.00162722595947957
169,02:49,2,49,169,0.07633917105045082,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09633917105045083,0.0016056528508408472
170,02:50,2,50,170,0.075,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.095,0.0015833333333333333
171,02:51,2,51,171,0.0736197149921864,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09361971499218641,0.0015603285832031068
172,02:52,2,52,172,0.072202099292274,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.092202099292274,0.0015367016548712333
173,02:53,2,53,173,0.07075103848635902,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09075103848635903,0.0015125173081059838
174,02:54,2,54,174,0.06927050983124844,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08927050983124844,0.0014878418305208075
175,02:55,2,55,175,0.06776457135307562,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08776457135307562,0.0014627428558845936
176,02:56,2,56,176,0.06623735072453277,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08623735072453277,0.0014372891787422129
177,02:57,2,57,177,0.06469303395120693,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08469303395120693,0.0014115505658534489
178,02:58,2,58,178,0.06313585389802961,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08313585389802962,0.0013855975649671602
179,02:59,2,59,179,0.06157007868728833,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08157007868728833,0.0013595013114548055
180,03:00,3,0,180,0.060000000000000005,0.0,4.0,0.02,0.0,0.024,0.0,0.0,0.0,4.103999999999999,0.06839999999999999
181,03:01,3,1,181,0.05842992131271169,0.0,4.0,0.02,0.0,0.024,0.0,0.0,0.0,4.102429921312711,0.06837383202187852
182,03:02,3,2,182,0.056864146101970395,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,4.07686414610197,0.06794773576836617
183,03:03,3,3,183,0.05530696604879308,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,4.075306966048792,0.06792178276747987
184,03:04,3,4,184,0.05376264927546723,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,4.073762649275467,0.0678960441545911
185,03:05,3,5,185,0.05223542864692439,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,4.072235428646924,0.06787059047744874
186,03:06,3,6,186,0.05072949016875157,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,4.070729490168751,0.06784549150281252
187,03:07,3,7,187,0.049248961513640985,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,4.06924896151364,0.06782081602522734
188,03:08,3,8,188,0.04779790070772601,0.0,4.0,0.02,0.0,0.0,0.0,0.0,0.0,4.067797900707726,0.0677966316784621
